,Marital_Status,Course,Attendance,Prev_Qua,Prev_Qua_Grade,Nationality,Mother_Qua,Father_Qua,Adm_Grade,Tui_Up_to_Date,Gender,S_Holder,Age_at_Enroll,Cur_U_1st_Sem_Credit,Cur_U_1st_Sem_Appr,Cur_U_1st_Sem_Grade,Cur_U_2nd_Sem_Credit,Cur_U_2nd_Sem_Approved,Cur_U_2nd_Sem_Grade,SAP
0,1,171,1,1,122.0,1,19,12,127.3,1,1,0,20,0,0,0.0,0,0,0.0,1
1,1,9254,1,1,160.0,1,1,3,142.5,0,1,0,19,0,6,14.0,0,6,13.666666666666666,0
2,1,9070,1,1,122.0,1,37,37,124.8,0,1,0,19,0,0,0.0,0,0,0.0,1
3,1,9773,1,1,122.0,1,38,37,119.6,1,0,0,20,0,6,13.428571428571429,0,5,12.4,0
4,2,8014,0,1,100.0,1,37,38,141.5,1,0,0,45,0,5,12.333333333333334,0,6,13.0,0
5,2,9991,0,19,133.1,1,37,37,114.8,1,1,0,50,0,5,11.857142857142858,0,5,11.5,0
6,1,9500,1,1,142.0,1,19,38,128.4,1,0,1,18,0,7,13.3,0,8,14.345,0
7,1,9254,1,1,119.0,1,37,37,113.1,0,1,0,22,0,0,0.0,0,0,0.0,1
8,1,9238,1,1,137.0,62,1,1,129.3,1,0,1,21,0,6,13.875,0,6,14.142857142857142,0
9,1,9238,1,1,138.0,1,1,19,123.0,0,0,0,18,0,5,11.4,0,2,13.5,1
10,1,9670,1,1,139.0,1,38,19,130.6,1,0,0,18,0,6,12.333333333333334,0,5,14.2,0
11,1,9500,1,1,136.0,1,19,38,119.3,1,0,1,18,0,7,13.214285714285714,0,7,13.214285714285714,0
12,1,9853,1,1,133.0,1,19,37,130.2,1,0,0,19,0,0,0.0,0,0,0.0,1
13,1,9254,1,42,110.0,1,1,1,111.8,1,0,1,21,0,6,10.571428571428571,0,5,11.0,0
14,1,9085,1,1,149.0,1,38,37,137.1,1,0,1,18,0,4,13.25,0,5,12.0,0
15,1,9773,1,1,127.0,1,19,37,120.7,1,0,0,20,0,5,13.2,0,0,0.0,1
16,1,9238,1,1,137.0,1,19,38,137.4,1,0,0,18,0,1,12.0,0,2,11.0,0
17,1,9500,1,1,135.0,1,19,1,127.3,1,0,0,18,0,7,13.30625,0,8,14.545,0
18,1,9130,1,1,137.0,1,3,19,136.3,1,0,0,20,0,4,12.5,0,4,12.25,0
19,1,9853,1,1,140.0,1,19,19,124.6,1,0,0,18,0,6,11.666666666666666,0,6,13.5,0
20,1,171,1,1,122.0,1,1,1,120.3,1,0,1,21,0,0,0.0,0,0,0.0,0
21,1,9556,1,1,127.0,1,1,38,121.8,1,0,0,20,0,7,11.4375,0,8,11.425,0
22,1,9500,1,1,142.0,1,19,19,125.5,1,0,0,18,0,7,12.857142857142858,0,7,12.857142857142858,0
23,1,9670,1,1,125.0,1,1,38,114.9,1,0,1,19,0,6,13.375,0,6,12.285714285714286,0
24,1,9500,1,1,126.0,1,19,19,123.9,1,0,0,19,0,6,13.296666666666669,0,7,14.114285714285714,0
25,1,9238,1,1,151.0,1,19,38,157.0,1,0,1,18,0,5,11.6,0,4,11.0,0
26,1,9238,1,1,115.0,1,19,38,116.4,1,0,0,21,0,6,11.375,0,6,13.285714285714286,0
27,1,9085,1,1,138.0,1,19,19,131.0,1,0,0,18,0,5,12.666666666666666,0,4,13.0,0
28,1,9147,1,1,135.0,1,19,1,122.1,1,0,0,20,0,5,12.0,0,5,12.333333333333334,0
29,1,9500,1,1,127.0,1,3,3,118.8,1,1,0,19,0,6,12.933333333333332,0,6,13.716666666666669,0
30,1,9003,1,39,150.0,1,4,5,150.0,1,1,0,21,0,5,11.857142857142858,0,5,10.571428571428571,0
