Marital_Status,Course,Attendance,Prev_Qua,Prev_Qua_Grade,Region,Mother_Qua,Father_Qua,Adm_Grade,Tui_Up_to_Date,Gender,S_Holder,Age_at_Enroll,Cur_U_1st_Sem_Credit,Cur_U_1st_Sem_Grade,Cur_U_2nd_Sem_Credit,Cur_U_2nd_Sem_Grade,SAP
unmarried,chemistry,present,Diploma,122.0,south west,BSC,HND,127.3,yes,male,no,20,0,0.0,0,0.0,droupout
unmarried,education,present,Diploma,160.0,south west,SSCE,SSCE,142.5,no,male,no,19,0,14.0,0,13.666666666666666,graduate
unmarried,nursing,present,Diploma,122.0,south west,others,others,124.8,no,male,no,19,0,0.0,0,0.0,droupout
unmarried,accounting,present,Diploma,122.0,south west,others,others,119.6,yes,female,no,20,0,13.428571428571429,0,12.4,graduate
married,journalism,absent,Diploma,100.0,south west,others,others,141.5,yes,female,no,45,0,12.333333333333334,0,13.0,graduate
married,design,absent,HND,133.1,south west,others,others,114.8,yes,male,no,50,0,11.857142857142858,0,11.5,graduate
unmarried,management,present,Diploma,142.0,south west,BSC,others,128.4,yes,female,yes,18,0,13.3,0,14.345,graduate
unmarried,education,present,Diploma,119.0,south west,others,others,113.1,no,male,no,22,0,0.0,0,0.0,droupout
unmarried,information technology,present,Diploma,137.0,north central,SSCE,SSCE,129.3,yes,female,yes,21,0,13.875,0,14.142857142857142,graduate
unmarried,information technology,present,Diploma,138.0,south west,SSCE,BSC,123.0,no,female,no,18,0,11.4,0,13.5,droupout
unmarried,agronomy,present,Diploma,139.0,south west,others,BSC,130.6,yes,female,no,18,0,12.333333333333334,0,14.2,graduate
unmarried,management,present,Diploma,136.0,south west,BSC,others,119.3,yes,female,yes,18,0,13.214285714285714,0,13.214285714285714,graduate
unmarried,business,present,Diploma,133.0,south west,BSC,others,130.2,yes,female,no,19,0,0.0,0,0.0,droupout
unmarried,education,present,OND,110.0,south west,SSCE,SSCE,111.8,yes,female,yes,21,0,10.571428571428571,0,11.0,graduate
unmarried,economics,present,Diploma,149.0,south west,others,others,137.1,yes,female,yes,18,0,13.25,0,12.0,graduate
unmarried,accounting,present,Diploma,127.0,south west,BSC,others,120.7,yes,female,no,20,0,13.2,0,0.0,droupout
unmarried,information technology,present,Diploma,137.0,south west,BSC,others,137.4,yes,female,no,18,0,12.0,0,11.0,graduate
unmarried,management,present,Diploma,135.0,south west,BSC,SSCE,127.3,yes,female,no,18,0,13.30625,0,14.545,graduate
